Experiment,Primed.as,Primed,Temp,Date of death,Censor
prime.feed.prime,Adult,Y,SE,22,1
prime.feed.prime,Adult,Y,SE,22,1
prime.feed.prime,Adult,Y,SE,23,1
prime.feed.prime,Adult,Y,SE,23,1
prime.feed.prime,Adult,Y,SE,25,1
prime.feed.prime,Adult,Y,SE,28,1
prime.feed.prime,Adult,Y,SE,28,1
prime.feed.prime,Adult,Y,SE,31,1
prime.feed.prime,Adult,Y,SE,31,1
prime.feed.prime,Adult,Y,SE,35,1
prime.feed.prime,Adult,Y,SE,35,1
prime.feed.prime,Adult,Y,SE,35,1
prime.feed.prime,Adult,Y,SE,38,1
prime.feed.prime,Adult,Y,SE,38,1
oneday.severe.prime,Adult,Y,18,12,1
oneday.severe.prime,Adult,Y,18,12,1
oneday.severe.prime,Adult,Y,18,12,1
oneday.severe.prime,Adult,Y,18,18,1
oneday.severe.prime,Adult,Y,18,18,1
oneday.severe.prime,Adult,Y,18,20,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,22,1
oneday.severe.prime,Adult,Y,18,23,1
oneday.severe.prime,Adult,Y,18,24,1
oneday.severe.prime,Adult,Y,18,24,1
oneday.severe.prime,Adult,Y,18,27,1
oneday.severe.prime,Adult,Y,18,29,1
oneday.severe.prime,Adult,Y,18,29,1
oneday.severe.prime,Adult,Y,18,31,1
oneday.severe.prime,Adult,Y,18,33,1
oneday.severe.prime,Adult,Y,18,45,1
oneday.severe.prime,Adult,Y,18,46,1
oneday.severe.prime,Adult,Y,22,11,1
oneday.severe.prime,Adult,Y,22,11,1
oneday.severe.prime,Adult,Y,22,12,1
oneday.severe.prime,Adult,Y,22,13,1
oneday.severe.prime,Adult,Y,22,13,1
oneday.severe.prime,Adult,Y,22,13,1
oneday.severe.prime,Adult,Y,22,15,1
oneday.severe.prime,Adult,Y,22,15,1
oneday.severe.prime,Adult,Y,22,16,1
oneday.severe.prime,Adult,Y,22,17,1
oneday.severe.prime,Adult,Y,22,18,1
oneday.severe.prime,Adult,Y,22,19,1
oneday.severe.prime,Adult,Y,22,22,1
oneday.severe.prime,Adult,Y,22,26,1
oneday.severe.prime,Adult,Y,22,26,1
oneday.severe.prime,Adult,Y,22,1,0
oneday.severe.prime,Adult,Y,22,29,1
oneday.severe.prime,Adult,Y,22,29,1
oneday.severe.prime,Adult,Y,22,31,1
oneday.severe.prime,Adult,Y,22,31,1
oneday.severe.prime,Adult,Y,22,31,1
oneday.severe.prime,Adult,Y,22,33,1
oneday.severe.prime,Adult,Y,22,37,1
oneday.severe.prime,Adult,Y,22,41,1
oneday.severe.prime,Adult,Y,27,10,1
oneday.severe.prime,Adult,Y,27,10,1
oneday.severe.prime,Adult,Y,27,10,1
oneday.severe.prime,Adult,Y,27,11,1
oneday.severe.prime,Adult,Y,27,11,1
oneday.severe.prime,Adult,Y,27,11,1
oneday.severe.prime,Adult,Y,27,13,1
oneday.severe.prime,Adult,Y,27,15,1
oneday.severe.prime,Adult,Y,27,15,1
oneday.severe.prime,Adult,Y,27,15,1
oneday.severe.prime,Adult,Y,27,15,1
oneday.severe.prime,Adult,Y,27,16,1
oneday.severe.prime,Adult,Y,27,19,1
oneday.severe.prime,Adult,Y,27,19,1
oneday.severe.prime,Adult,Y,27,19,1
oneday.severe.prime,Adult,Y,27,20,1
oneday.severe.prime,Adult,Y,27,23,1
oneday.severe.prime,Adult,Y,27,23,1
oneday.severe.prime,Adult,Y,27,25,1
oneday.severe.prime,Adult,Y,27,1,0
oneday.severe.prime,Adult,Y,27,1,0
oneday.severe.prime,Adult,Y,27,29,1
single.feed.rep,Not.primed,N,18,14,1
single.feed.rep,Not.primed,N,18,31,1
single.feed.rep,Not.primed,N,18,31,1
single.feed.rep,Not.primed,N,18,34,1
single.feed.rep,Not.primed,N,18,34,1
single.feed.rep,Not.primed,N,18,43,1
single.feed.rep,Not.primed,N,18,46,0
single.feed.rep,Not.primed,N,18,46,0
single.feed.rep,Not.primed,N,18,50,1
single.feed.rep,Not.primed,N,18,51,1
single.feed.rep,Not.primed,N,18,53,1
single.feed.rep,Not.primed,N,18,56,1
single.feed.rep,Not.primed,N,18,56,1
single.feed.rep,Not.primed,N,18,56,1
single.feed.rep,Not.primed,N,18,56,1
single.feed.rep,Not.primed,N,18,57,1
single.feed.rep,Not.primed,N,18,60,1
single.feed.rep,Not.primed,N,18,65,1
single.feed.rep,Not.primed,N,18,73,1
single.feed.rep,Not.primed,N,18,78,1
single.feed.rep,Not.primed,N,22,24,1
single.feed.rep,Not.primed,N,22,27,1
single.feed.rep,Not.primed,N,22,27,1
single.feed.rep,Not.primed,N,22,27,0
single.feed.rep,Not.primed,N,22,28,1
single.feed.rep,Not.primed,N,22,29,1
single.feed.rep,Not.primed,N,22,30,1
single.feed.rep,Not.primed,N,22,30,1
single.feed.rep,Not.primed,N,22,31,1
single.feed.rep,Not.primed,N,22,32,1
single.feed.rep,Not.primed,N,22,36,1
single.feed.rep,Not.primed,N,22,38,1
single.feed.rep,Not.primed,N,22,41,1
single.feed.rep,Not.primed,N,22,41,1
single.feed.rep,Not.primed,N,22,43,1
single.feed.rep,Not.primed,N,22,46,1
single.feed.rep,Not.primed,N,22,48,1
single.feed.rep,Not.primed,N,22,59,1
single.feed.rep,Not.primed,N,22,51,1
single.feed.rep,Not.primed,N,22,58,1
multi.feed,Not.primed,N,18,6,1
multi.feed,Not.primed,N,18,8,1
multi.feed,Not.primed,N,18,8,1
multi.feed,Not.primed,N,18,9,1
multi.feed,Not.primed,N,18,15,1
multi.feed,Not.primed,N,18,16,1
multi.feed,Not.primed,N,18,21,1
multi.feed,Not.primed,N,18,21,1
multi.feed,Not.primed,N,18,22,1
multi.feed,Not.primed,N,18,22,0
multi.feed,Not.primed,N,18,22,0
multi.feed,Not.primed,N,18,22,0
multi.feed,Not.primed,N,18,22,0
multi.feed,Not.primed,N,18,22,0
multi.feed,Not.primed,N,18,23,1
multi.feed,Not.primed,N,18,23,1
multi.feed,Not.primed,N,18,24,1
multi.feed,Not.primed,N,18,25,1
multi.feed,Not.primed,N,18,25,1
multi.feed,Not.primed,N,18,25,1
multi.feed,Not.primed,N,18,26,1
